frame,tp,fg_pixels,fp,bg_pixels,person_raw_background,person_raw_shadow,person_raw_foreground
511,0,0,0,101376,0,0,0
512,0,0,0,101376,0,0,0
513,0,0,0,101376,0,0,0
514,0,0,0,101376,0,0,0
515,0,0,0,101376,0,0,0
516,0,0,0,101376,0,0,0
517,0,0,0,101376,0,0,0
518,0,0,0,101376,0,0,0
519,0,0,0,101376,0,0,0
520,0,0,0,101376,0,0,0
521,0,0,0,101376,0,0,0
522,0,0,0,101376,0,0,0
523,0,0,0,101376,0,0,0
524,0,0,0,101376,0,0,0
